sortid,genelist,drdist,FC,pValues,pAdjusted
1056,EPB41L5,1.85604712756731e-18,0.000176336644607012,0.989405057983188,0.999999999923338
3303,TICAM2,1.8416701976812e-18,0.000174970742018541,0.989446169531109,0.999999999923338
3040,SMYD4,1.840106631734e-18,0.000174822193003457,0.989450650287729,0.999999999923338
1016,EIF4G2,1.80242487922312e-18,0.000171242179488719,0.989559217708763,0.999999999923338
865,DDX3X,1.79853913239981e-18,0.000170873008067133,0.989570477488085,0.999999999923338
1619,KAT6A,1.78781779853278e-18,0.000169854411065072,0.989601608082025,0.999999999923338
1623,KCNAB2,1.78210302617607e-18,0.000169311470227467,0.98961823971177,0.999999999923338
2371,PIK3R4,1.77446460058492e-18,0.000168585769721904,0.989640511430376,0.999999999923338
2022,MYO9A,1.76196645600265e-18,0.00016739836405385,0.989677056517021,0.999999999923338
2403,PLOD3,1.75782621655281e-18,0.000167005014164393,0.989689191314586,0.999999999923338
899,DHX58,1.75415766584656e-18,0.000166656477797778,0.989699955568952,0.999999999923338
678,CIDEB,1.75409275416023e-18,0.000166650310762042,0.989700146134005,0.999999999923338
907,DKK3,1.75166182901749e-18,0.000166419356937327,0.989707285284616,0.999999999923338
1999,MTX1,1.75080946060173e-18,0.00016633837635005,0.989709789696647,0.999999999923338
3648,ZBTB10,1.74909017351108e-18,0.000166175032805494,0.989714843127974,0.999999999923338
1941,MRPL40,1.74206007206701e-18,0.000165507127081828,0.98973553231286,0.999999999923338
231,AP3S1,1.72926333591016e-18,0.000164291353256744,0.989773299832005,0.999999999923338
1354,GSE1,1.70685828578654e-18,0.000162162726616627,0.989839762897812,0.999999999923338
3727,ZNF487,1.70560220846611e-18,0.000162043391036855,0.989843501844006,0.999999999923338
589,CD48,1.70538479881375e-18,0.000162022735694633,0.989844149143778,0.999999999923338
940,DPAGT1,1.69898754652384e-18,0.000161414954789314,0.989863214366217,0.999999999923338
3548,UROD,1.68931210914534e-18,0.000160495724810134,0.989892117640392,0.999999999923338
3178,STRIP1,1.68622045969263e-18,0.000160201997844534,0.989901370717274,0.999999999923338
3509,U2SURP,1.6835764212157e-18,0.000159950796855987,0.989909290860448,0.999999999923338
1712,LGALS8,1.67836440791277e-18,0.000159455621424375,0.989924921537294,0.999999999923338
3107,SPTLC2,1.6779300692955e-18,0.000159414356408387,0.989926225201212,0.999999999923338
576,CD2BP2,1.67623397941974e-18,0.000159253216751316,0.989931317618423,0.999999999923338
2875,SEPTIN2,1.66664583115227e-18,0.000158342279809917,0.989960154093674,0.999999999923338
1110,FAM102A,1.66420621643619e-18,0.00015811050041877,0.989967504495718,0.999999999923338
1492,HSPD1,1.66323128162912e-18,0.000158017875220823,0.989970443418357,0.999999999923338
364,B9D2,1.66189810746413e-18,0.000157891214935402,0.989974463641635,0.999999999923338
3500,TXN,1.65697410877987e-18,0.000157423402780671,0.989989326091322,0.999999999923338
484,CALCRL,1.65538478970578e-18,0.000157272407049704,0.989994127957992,0.999999999923338
1339,GPR65,1.64642137168283e-18,0.000156420823577011,0.990021252727452,0.999999999923338
416,BRI3BP,1.64605573596523e-18,0.00015638608578688,0.990022360766639,0.999999999923338
906,DISP1,1.62503720627481e-18,0.00015438918767738,0.990086264501381,0.999999999923338
274,ARHGAP45,1.62254046077747e-18,0.000154151980487487,0.990093882885836,0.999999999923338
3689,ZNF106,1.6169978672367e-18,0.000153625397766132,0.990110816125794,0.999999999923338
332,ATP5PDP4,1.6086406178158e-18,0.000152831404284427,0.990136403425697,0.999999999923338
2343,PHACTR4,1.60593891881914e-18,0.000152574725168507,0.990144689400403,0.999999999923338
3469,TSC22D2,1.60375211719372e-18,0.000152366964678312,0.990151401316829,0.999999999923338
849,DCTN1,1.59722900914407e-18,0.000151747226650759,0.990171449825492,0.999999999923338
1055,EPB41L4A,1.59256018811051e-18,0.000151303658045684,0.99018582440994,0.999999999923338
3605,WDR86,1.58307181466487e-18,0.000150402200366441,0.990215102737288,0.999999999923338
187,ALG2,1.57801786919915e-18,0.000149922042415592,0.990230733548741,0.999999999923338
299,ARRB2,1.57128132784663e-18,0.000149282026825084,0.990251607258087,0.999999999923338
890,DHDDS,1.54931318803278e-18,0.000147194909528603,0.990319990071532,0.999999999923338
3335,TMEM123,1.54865967657952e-18,0.000147132821656388,0.990322031735645,0.999999999923338
2110,NKTR,1.54705563315041e-18,0.000146980427015168,0.990327044826169,0.999999999923338
490,CANX,1.52239725611676e-18,0.000144637719546707,0.990404438897767,0.999999999923338
2966,SLC25A51,1.51704861457013e-18,0.000144129563536263,0.990421308970409,0.999999999923338
663,CHCHD10,1.5149139086005e-18,0.000143926752474887,0.990428050318491,0.999999999923338
3554,USP47,1.50263401727341e-18,0.000142760082296853,0.990466922512896,0.999999999923338
1742,LONP2,1.49489530765668e-18,0.000142024854151439,0.990491501168398,0.999999999923338
637,CEP250,1.48615578611776e-18,0.000141194542312503,0.990519335097326,0.999999999923338
520,CBWD5,1.47799202264904e-18,0.00014041893126467,0.990545409368117,0.999999999923338
3586,VRK2,1.46894307347853e-18,0.000139559221772251,0.990574395137143,0.999999999923338
3135,SS18,1.45458260116299e-18,0.000138194882760873,0.990620578789083,0.999999999923338
3422,TRA2A,1.42965491318752e-18,0.000135826588987447,0.990701291631815,0.999999999923338
1192,FKBP8,1.42382885185321e-18,0.000135273074967405,0.990720256943816,0.999999999923338
2992,SLC46A1,1.41797168715576e-18,0.000134716605923963,0.990739362663746,0.999999999923338
1979,MTF2,1.41785250970805e-18,0.000134705283285152,0.990739751822699,0.999999999923338
3071,SPAG1,1.38951700052831e-18,0.000132013224157033,0.990832746834643,0.999999999923338
1233,FYCO1,1.38844054249965e-18,0.000131910953587491,0.990836298299345,0.999999999923338
3581,VPS35,1.37916456451995e-18,0.00013102967486989,0.990866958963571,0.999999999923338
360,B3GNT7,1.37203687133511e-18,0.00013035249729108,0.990890588850188,0.999999999923338
1677,KRR1,1.36846942230369e-18,0.000130013566246354,0.990902438787381,0.999999999923338
1595,ITGA5,1.35710161756604e-18,0.000128933550273585,0.990940302442184,0.999999999923338
2700,RNF2,1.35660247235951e-18,0.000128886128206773,0.990941968612987,0.999999999923338
1556,ILK,1.34849230359422e-18,0.00012811560900711,0.990969083829927,0.999999999923338
2422,PNPT1,1.34684565190591e-18,0.000127959166301944,0.990974599130655,0.999999999923338
2436,POLR2L,1.34490323436306e-18,0.000127774623901676,0.990981109407144,0.999999999923338
2705,RNF31,1.34253064067811e-18,0.000127549211947849,0.990989067859996,0.999999999923338
2993,SLC4A1AP,1.33848611916749e-18,0.000127164955890106,0.991002650734987,0.999999999923338
1529,IFT22,1.3175593079516e-18,0.000125176771636956,0.99107326023401,0.999999999923338
2959,SLC25A18,1.31663596192909e-18,0.000125089047711737,0.99107638858292,0.999999999923338
